NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1951,TAUTOG,90.4,"199,400","9,926"
1951,"TILEFISH, GOLDEN","1,031.60","2,274,300","192,557"
1951,"TOMCOD, PACIFIC",0.9,"2,000",108
1951,TRIGGERFISHES,13.3,"29,300","3,220"
1951,TRIPLETAIL,11.4,"25,200","2,167"
1951,"TROUT, LAKE","1,328.10","2,928,000","1,245,612"
1951,"TROUT, RAINBOW",565.1,"1,245,748","265,955"
1951,"TUNA, ALBACORE","15,644.80","34,490,600","5,403,383"
1951,"TUNA, BLUEFIN",798.6,"1,760,600","130,837"
1951,"TUNA, BLUEFIN PACIFIC","1,752.00","3,862,400","604,027"
