Species,CommonName,Name,T1,TaxonKey
Morone saxatilis,Striped bass,Striped bass - Morone saxatilis,NA,600353
Morone americana,White perch,White perch - Morone americana,NA,600355
Perca fluviatilis,European perch,European perch - Perca fluviatilis,NA,600358
Centropristis striata,Black seabass,Black seabass - Centropristis striata,NA,600361
Lopholatilus chamaeleonticeps,Great Northern tilefish,Great Northern tilefish - Lopholatilus chamaeleonticeps,NA,600362
Pomatomus saltatrix,Bluefish,Bluefish - Pomatomus saltatrix,NA,600364
Seriola lalandi,Yellowtail amberjack,Yellowtail amberjack - Seriola lalandi,NA,600382
Chloroscombrus chrysurus,Atlantic bumper,Atlantic bumper - Chloroscombrus chrysurus,600385,600385
Selar crumenophthalmus,Bigeye scad,Bigeye scad - Selar crumenophthalmus,NA,600387
Brama brama,Atlantic pomfret,Atlantic pomfret - Brama brama,600391,600391
Dicentrarchus punctatus,Spotted seabass,Spotted seabass - Dicentrarchus punctatus,NA,600394
Plectorhinchus mediterraneus,Rubberlip grunt,Rubberlip grunt - Plectorhinchus mediterraneus,NA,600398
Pomadasys argenteus,Silver grunt,Silver grunt - Pomadasys argenteus,NA,600399
Brachydeuterus auritus,Bigeye grunt,Bigeye grunt - Brachydeuterus auritus,NA,600400
Cynoscion regalis,Squeteague (=Gray weakfish),Squeteague (=Gray weakfish) - Cynoscion regalis,NA,600406
Argyrosomus regius,Meagre,Meagre - Argyrosomus regius,NA,600418
Pteroscion peli,Boe drum,Boe drum - Pteroscion peli,NA,600423
Epinephelus aeneus,White grouper,White grouper - Epinephelus aeneus,NA,600426
Pagellus bellottii,Red pandora,Red pandora - Pagellus bellottii,NA,600436
Dentex dentex,Common dentex,Common dentex - Dentex dentex,NA,600439
Dentex angolensis,Angolan dentex,Angolan dentex - Dentex angolensis,600440,600440
Stenotomus chrysops,Scup,Scup - Stenotomus chrysops,NA,600452
Pseudupeneus prayensis,West African goatfish,West African goatfish - Pseudupeneus prayensis,NA,600453
Dissostichus eleginoides,Patagonian toothfish,Patagonian toothfish - Dissostichus eleginoides,NA,600467
Zoarces viviparus,Eelpout,Eelpout - Zoarces viviparus,NA,600479
Trisopterus minutus,Poor cod,Poor cod - Trisopterus minutus,NA,600481
Genypterus capensis,Kingklip,Kingklip - Genypterus capensis,NA,600485
Brotula barbata,Bearded brotula,Bearded brotula - Brotula barbata,NA,600486
Thyrsites atun,Snoek,Snoek - Thyrsites atun,NA,600489
Sebastes mentella,Beaked redfish,Beaked redfish - Sebastes mentella,NA,600505
Reinhardtius hippoglossoides,Greenland halibut,Greenland halibut - Reinhardtius hippoglossoides,NA,600516
Limanda ferruginea,Yellowtail flounder,Yellowtail flounder - Limanda ferruginea,NA,600521
Pseudopleuronectes americanus,Winter flounder,Winter flounder - Pseudopleuronectes americanus,NA,600524
Solea solea,Common sole,Common sole - Solea solea,NA,600525
Scophthalmus rhombus,Brill,Brill - Scophthalmus rhombus,NA,600529
Stephanolepis cirrhifer,Threadsail filefish,Threadsail filefish - Stephanolepis cirrhifer,NA,600531
Lophius americanus,American angler,American angler - Lophius americanus,600532,600532
Labrus bergylta,Ballan wrasse,Ballan wrasse - Labrus bergylta,600572,600572
Heptranchias perlo,Sharpnose sevengill shark,Sharpnose sevengill shark - Heptranchias perlo,NA,600636
Hexanchus griseus,Bluntnose sixgill shark,Bluntnose sixgill shark - Hexanchus griseus,NA,600637
Echinorhinus brucus,Bramble shark,Bramble shark - Echinorhinus brucus,NA,600641
Lepidopus caudatus,Silver scabbardfish,Silver scabbardfish - Lepidopus caudatus,NA,600645
Aphanopus carbo,Black scabbardfish,Black scabbardfish - Aphanopus carbo,NA,600646
Centrophorus granulosus,Gulper shark,Gulper shark - Centrophorus granulosus,NA,600648
Centrophorus lusitanicus,Lowfin gulper shark,Lowfin gulper shark - Centrophorus lusitanicus,NA,600650
Centrophorus squamosus,Leafscale gulper shark,Leafscale gulper shark - Centrophorus squamosus,NA,600653
Centroscyllium fabricii,Black dogfish,Black dogfish - Centroscyllium fabricii,NA,600656
Centroscymnus coelolepis,Portuguese dogfish,Portuguese dogfish - Centroscymnus coelolepis,NA,600662
Centroscymnus crepidater,Longnose velvet dogfish,Longnose velvet dogfish - Centroscymnus crepidater,NA,600663
Dalatias licha,Kitefin shark,Kitefin shark - Dalatias licha,NA,600669
Deania calcea,Birdbeak dogfish,Birdbeak dogfish - Deania calcea,NA,600670
Etmopterus spinax,Velvet belly,Velvet belly - Etmopterus spinax,NA,600687
Lichia amia,Leerfish,Leerfish - Lichia amia,NA,600692
Limanda limanda,Common dab,Common dab - Limanda limanda,NA,600695
Scymnodon ringens,Knifetooth dogfish,Knifetooth dogfish - Scymnodon ringens,NA,600700
Somniosus rostratus,Little sleeper shark,Little sleeper shark - Somniosus rostratus,NA,600704
Lithognathus mormyrus,Sand steenbras,Sand steenbras - Lithognathus mormyrus,NA,600706
Lophius piscatorius,Angler(=Monk),Angler(=Monk) - Lophius piscatorius,600716,600716
Oxynotus centrina,Angular rough shark,Angular rough shark - Oxynotus centrina,600718,600718
Oxynotus paradoxus,Sailfin roughshark,Sailfin roughshark - Oxynotus paradoxus,NA,600719
Squatina squatina,Angelshark,Angelshark - Squatina squatina,600736,600736
Isurus oxyrinchus,Shortfin mako,Shortfin mako - Isurus oxyrinchus,NA,600752
Maurolicus muelleri,Silvery lightfish,Silvery lightfish - Maurolicus muelleri,NA,600754
Mugil cephalus,Flathead grey mullet,Flathead grey mullet - Mugil cephalus,NA,600785
